Date	Open*	High	Low	Close**	Volume	Market Cap
Nov 07, 2017	10.32	11.45	10.32	11.21	122,951,000	760,320,320
Nov 06, 2017	10.13	11.18	10.06	10.44	116,937,000	745,802,432
Nov 05, 2017	10.04	10.43	9.96	10.13	49,288,500	739,112,832
Nov 04, 2017	10.31	10.40	9.82	10.05	35,477,100	759,109,760
Nov 03, 2017	9.77	10.42	9.70	10.38	55,018,600	719,701,312
Nov 02, 2017	9.95	10.04	9.35	9.80	54,501,600	732,690,816
Nov 01, 2017	10.41	10.41	9.92	9.93	26,591,700	766,698,368
Oct 31, 2017	10.38	10.88	10.35	10.45	43,306,600	764,029,184
Oct 30, 2017	10.39	10.48	10.29	10.39	21,781,900	765,031,296
Oct 29, 2017	10.19	10.54	10.18	10.42	40,119,600	750,443,456
Oct 28, 2017	10.33	10.38	10.18	10.21	23,588,200	760,134,848
Oct 27, 2017	10.56	10.63	10.26	10.30	27,344,700	777,593,600
Oct 26, 2017	10.66	10.79	10.45	10.57	26,461,700	784,784,128
Oct 25, 2017	10.78	10.92	10.37	10.65	48,104,100	793,778,624
Oct 24, 2017	9.96	11.46	9.52	10.76	118,813,000	733,399,104
Oct 23, 2017	10.59	10.60	9.75	9.96	50,654,800	779,243,840
Oct 22, 2017	10.97	11.06	10.56	10.63	33,890,300	807,213,504
Oct 21, 2017	11.25	11.35	10.50	10.91	56,075,000	828,306,112
Oct 20, 2017	12.10	15.12	11.19	11.30	304,280,992	890,682,304
Oct 19, 2017	11.46	12.22	11.35	12.07	49,308,300	688,986,112
Oct 18, 2017	12.04	12.04	10.78	11.49	53,960,300	710,326,016
Oct 17, 2017	11.48	12.27	11.03	12.05	57,046,400	677,310,848
Oct 16, 2017	10.46	11.65	10.23	11.49	37,568,400	616,894,656
Oct 15, 2017	10.64	10.66	10.09	10.44	22,057,700	627,947,712
Oct 14, 2017	11.26	11.45	10.62	10.63	17,709,400	664,128,832
Oct 13, 2017	11.30	11.30	10.31	11.25	44,760,500	666,714,048
Oct 12, 2017	12.13	12.21	11.29	11.29	31,335,300	715,781,696
Oct 11, 2017	12.04	12.28	11.87	12.13	28,771,600	710,229,888
Oct 10, 2017	12.04	12.54	11.55	12.08	50,232,800	710,536,256
Oct 09, 2017	11.14	12.49	10.96	12.07	57,974,000	657,303,680
Oct 08, 2017	11.96	12.11	11.14	11.14	34,305,900	705,790,592
Oct 07, 2017	11.67	11.94	11.51	11.94	19,498,800	688,284,096
Oct 06, 2017	11.87	11.91	11.50	11.69	23,341,500	700,543,936
Oct 05, 2017	11.60	11.98	10.82	11.86	67,610,800	684,358,144
Oct 04, 2017	12.16	12.28	11.51	11.63	77,387,000	717,222,784
Oct 03, 2017	11.91	12.12	10.78	12.12	95,756,400	702,872,064
Oct 02, 2017	12.36	12.38	11.43	11.88	69,789,000	729,061,696
Oct 01, 2017	11.59	12.61	11.58	12.34	162,762,000	683,565,888
Sep 30, 2017	9.77	11.65	9.75	11.59	141,320,000	576,371,264
Sep 29, 2017	9.96	10.00	9.15	9.77	79,526,304	587,845,248
Sep 28, 2017	9.95	10.10	9.06	9.93	95,333,296	586,982,656
Sep 27, 2017	9.37	9.90	9.35	9.90	59,847,700	552,810,944
Sep 26, 2017	9.38	10.30	9.17	9.34	104,988,000	553,597,696
Sep 25, 2017	8.03	9.60	8.03	9.36	82,385,104	473,817,984
Sep 24, 2017	8.10	8.28	7.79	8.04	28,266,800	477,945,440
Sep 23, 2017	7.70	8.21	7.48	8.11	40,760,800	454,161,632
Sep 22, 2017	7.34	7.91	7.27	7.68	42,861,600	433,000,416
Sep 21, 2017	8.77	8.81	7.34	7.38	38,239,000	517,612,096
Sep 20, 2017	8.92	9.05	8.47	8.79	38,916,900	526,413,920
Sep 19, 2017	9.65	9.70	8.75	8.91	66,250,600	569,632,576
Sep 18, 2017	8.31	10.51	8.31	9.62	167,586,000	490,417,120
Sep 17, 2017	8.19	8.79	7.59	8.27	69,847,200	482,926,720
Sep 16, 2017	8.49	8.97	7.44	8.25	97,992,200	500,808,928
Sep 15, 2017	7.72	9.31	5.91	8.47	242,984,000	455,211,552
Sep 14, 2017	11.94	12.18	7.60	7.60	137,040,000	704,415,424
Sep 13, 2017	13.45	13.53	11.60	11.94	185,348,000	793,825,088
Sep 12, 2017	14.38	15.31	12.86	13.51	156,187,008	848,363,648
Sep 11, 2017	12.64	14.79	12.55	14.28	165,283,008	745,786,752
Sep 10, 2017	13.27	13.34	11.38	12.78	172,687,008	783,150,400
Sep 09, 2017	13.40	13.63	12.46	13.32	99,008,096	790,321,664
Sep 08, 2017	14.74	16.07	12.44	13.50	294,168,992	869,877,632
Sep 07, 2017	11.40	14.77	10.69	14.74	195,986,000	672,887,744
Sep 06, 2017	11.73	12.49	10.34	11.40	141,347,008	691,920,896
Sep 05, 2017	11.07	12.07	8.77	11.71	218,916,992	653,177,472
Sep 04, 2017	15.30	15.44	10.22	10.98	161,203,008	902,406,656
Sep 03, 2017	16.41	16.74	14.19	15.29	98,105,400	967,970,880
Sep 02, 2017	18.26	19.06	15.51	16.40	123,479,000	1,077,371,136
Sep 01, 2017	17.30	18.47	16.94	18.26	73,618,496	1,020,981,504
Aug 31, 2017	16.72	18.08	16.69	17.30	76,872,496	986,294,848
Aug 30, 2017	19.05	19.05	14.58	16.84	145,512,000	1,124,195,456
Aug 29, 2017	16.28	20.04	16.28	19.15	216,784,000	960,485,952
Aug 28, 2017	15.66	16.35	14.86	16.24	82,850,200	923,721,600
Aug 27, 2017	15.42	15.86	14.74	15.70	56,474,400	909,788,352
Aug 26, 2017	13.26	15.89	12.97	15.41	88,172,496	782,373,568
Aug 25, 2017	13.75	13.85	12.85	13.32	26,327,100	811,034,944
Aug 24, 2017	11.87	14.13	11.64	13.78	72,955,504	700,166,784
Aug 23, 2017	11.05	12.47	11.04	11.90	36,722,000	651,839,360
Aug 22, 2017	11.20	11.41	10.17	11.06	25,086,300	660,585,472
Aug 21, 2017	11.80	11.87	10.82	11.23	29,380,800	696,434,048
Aug 20, 2017	11.54	12.35	10.82	11.79	40,638,800	680,885,120
Aug 19, 2017	11.62	12.36	9.69	11.64	54,327,300	685,315,840
Aug 18, 2017	13.09	13.09	11.00	11.63	43,226,400	772,302,400
Aug 17, 2017	14.36	14.37	12.82	13.06	50,489,100	847,017,024
Aug 16, 2017	14.67	15.42	14.15	14.35	59,126,000	865,463,488
Aug 15, 2017	15.01	15.30	13.83	14.68	62,353,100	885,415,424
Aug 14, 2017	15.10	17.16	14.36	15.06	103,750,000	890,836,416
Aug 13, 2017	13.92	15.84	12.79	15.17	75,650,496	821,279,744
Aug 12, 2017	14.73	15.47	12.85	13.90	59,321,200	868,961,664
Aug 11, 2017	15.63	16.36	14.33	14.73	91,215,904	922,432,896
Aug 10, 2017	12.55	16.99	12.42	15.77	133,259,000	740,715,200
Aug 09, 2017	11.49	12.63	11.07	12.55	52,016,000	677,865,920
Aug 08, 2017	12.64	12.74	10.84	11.50	63,155,600	746,009,792
Aug 07, 2017	10.03	12.84	9.88	12.65	95,630,200	591,789,824
Aug 06, 2017	9.34	10.83	9.08	10.07	54,977,800	550,855,296
Aug 05, 2017	8.22	9.52	7.80	9.38	42,482,900	484,803,104
Aug 04, 2017	7.68	8.71	7.68	8.22	31,879,600	452,968,704
Aug 03, 2017	6.42	7.86	6.17	7.65	30,278,900	378,740,832
Aug 02, 2017	6.56	6.69	6.32	6.43	11,978,000	387,233,792
Aug 01, 2017	6.12	6.67	5.74	6.49	20,864,300	361,164,672
